Govregion,County,District,PrivateBEV,PrivatePHEV,PrivateHEV,PrivateTotalEV,PrivateTotalCar,CompanyBEV,CompanyPHEV,CompanyHEV,CompanyTotalEV,CompanyTotalCar,TotalCars,PBEV1k,PPHEV1k,PHEV1k,PPEV1k,CBEV1k,CPHEV1k,CHEV1k,CPEV1k,TBEV1k,TPHEV1k,THEV1k,TPEV1k,TCC1k
Scotland,Aberdeen City UA,Aberdeen City UA,77,51,507,635,89544,19,61,32,112,4820,94364,0.859912445,0.569552399,5.662020906,1.429464844,3.941908714,12.65560166,6.639004149,16.59751037,1.01733712,1.186893307,5.711924039,2.204230427,51.07880124
Scotland,Aberdeenshire UA,Aberdeenshire UA,109,90,495,694,138704,18,45,24,87,5705,144409,0.785846118,0.648863767,3.568750721,1.434709886,3.155127082,7.887817704,4.206836109,11.04294479,0.879446572,0.934844781,3.593958825,1.814291353,39.50584797
South East,West Sussex,Adur,21,10,140,171,29620,3,9,7,19,1209,30829,0.708980419,0.337609723,4.726536124,1.046590142,2.481389578,7.444168734,5.789909016,9.925558313,0.778487787,0.616302832,4.768237698,1.394790619,39.21632229
North West,Cumbria,Allerdale,34,15,191,240,47812,1,10,21,32,2550,50362,0.711118548,0.313728771,3.994813018,1.024847319,0.392156863,3.921568627,8.235294118,4.31372549,0.694968429,0.49640602,4.209523053,1.191374449,50.63341408
East Midlands,Derbyshire,Amber Valley,41,22,382,445,62997,11,15,51,77,3692,66689,0.650824642,0.349222979,6.063780815,1.000047621,2.979414951,4.06283857,13.81365114,7.042253521,0.779738788,0.554814137,6.492824904,1.334552925,55.36145391
Wales,Anglesey,Anglesey,22,19,81,122,36553,9,12,2,23,1581,38134,0.601865784,0.519793177,2.215960386,1.121658961,5.69259962,7.590132827,1.265022138,13.28273245,0.812922851,0.812922851,2.176535375,1.625845702,41.4590654
Scotland,Angus UA,Angus UA,47,20,225,292,55940,12,12,11,35,2657,58597,0.840185913,0.357525921,4.022166607,1.197711834,4.516371848,4.516371848,4.140007527,9.032743696,1.006877485,0.546103043,4.027509941,1.552980528,45.34361827
Scotland,Argyll and Bute UA,Argyll and Bute UA,25,17,227,269,40367,5,5,24,34,1832,42199,0.61931776,0.421136076,5.623405257,1.040453836,2.729257642,2.729257642,13.10043668,5.458515284,0.71091732,0.521339368,5.948008247,1.232256689,43.41335103
South East,West Sussex,Arun,51,36,515,602,82573,10,47,23,80,2490,85063,0.617635305,0.435977862,6.236905526,1.053613167,4.016064257,18.87550201,9.236947791,22.89156627,0.71711555,0.975747387,6.324724028,1.692862937,29.27242162
East Midlands,Nottinghamshire,Ashfield,41,17,276,334,55967,1,24,17,42,2592,58559,0.732574553,0.303750424,4.931477478,1.036324977,0.385802469,9.259259259,6.558641975,9.645061728,0.717225362,0.700148568,5.003500743,1.417373931,44.26305094
South East,Kent,Ashford,52,44,478,574,64411,12,12,34,58,2993,67404,0.807315521,0.683113133,7.421092671,1.490428653,4.009355162,4.009355162,11.35983963,8.018710324,0.949498546,0.830811228,7.595988369,1.780309774,44.40389294
South East,Buckinghamshire,Aylesbury Vale,120,76,869,1065,102724,23,42,76,141,3808,106532,1.168178809,0.739846579,8.459561544,1.908025388,6.039915966,11.02941176,19.95798319,17.06932773,1.342319679,1.107648406,8.8705741,2.449968085,35.74512822
East of England,Suffolk,Babergh,52,31,228,311,51175,3,12,8,23,1594,52769,1.016121153,0.605764533,4.45530044,1.621885686,1.882057716,7.528230866,5.018820577,9.410288582,1.042278611,0.814872368,4.472322765,1.857150979,30.20712919
London,Greater London,Barking and Dagenham,40,20,1261,1321,59621,6,4,187,197,3282,62903,0.670904547,0.335452274,21.15026585,1.006356821,1.828153565,1.218769043,56.97745277,3.046922608,0.731284676,0.381539831,23.01956981,1.112824508,52.17557191
London,Greater London,Barnet,430,185,4202,4817,134945,75,61,1208,1344,7181,142126,3.186483382,1.370928897,31.13861203,4.557412279,10.44422782,8.49463863,168.2216961,18.93886645,3.553185202,1.730858534,38.06481573,5.284043736,50.52558997
Yorkshire and Humberside,South Yorkshire Metropolitan Area,Barnsley,54,29,538,621,103712,15,49,56,120,5348,109060,0.520672632,0.279620488,5.187442147,0.800293119,2.804786836,9.162303665,10.47120419,11.9670905,0.632679259,0.715202641,5.446543187,1.3478819,49.03722721
North West,Cumbria,Barrow-in-Furness,11,4,66,81,28085,3,7,3,13,1596,29681,0.39166815,0.142424782,2.350008902,0.534092932,1.879699248,4.385964912,1.879699248,6.26566416,0.471682221,0.370607459,2.324719518,0.84228968,53.77177319
East of England,Essex,Basildon,53,25,423,501,85312,36,53,64,153,4297,89609,0.621249062,0.293042011,4.958270818,0.914291073,8.377938096,12.33418664,14.89411217,20.71212474,0.993203808,0.870448281,5.434721959,1.863652089,47.9527726
South East,Hampshire,Basingstoke and Deane,85,61,627,773,93393,27,28,32,87,2908,96301,0.910132451,0.653153877,6.713565256,1.563286328,9.284731774,9.628610729,11.00412655,18.9133425,1.163020114,0.924185626,6.843127278,2.08720574,30.19698653
East Midlands,Nottinghamshire,Bassetlaw,31,20,333,384,56332,2,19,40,61,2860,59192,0.550308883,0.355037989,5.911382518,0.905346872,0.699300699,6.643356643,13.98601399,7.342657343,0.557507771,0.658872821,6.301527233,1.216380592,48.31734018
